time_s,DYN1-1X,DYN1-1Y,DYN1-2X,DYN1-2Y,DYN1-3X,DYN1-3Y,DYN1-4X,DYN1-4Y,DYN1-5X,DYN1-5Y,DYN1-6X,DYN1-6Y,DYN1-7X,DYN1-7Y,DYN1-8X,DYN1-8Y,DYN1-9X,DYN1-9Y,DYN1-10X,DYN1-10Y,DYN1-11X,DYN1-11Y,DYN1-12X,DYN1-12Y,DYN1-13X,DYN1-13Y,DYN1-14X,DYN1-14Y,DYN1-15X,DYN1-15Y,DYN1-16X,DYN1-16Y,DYN1-17X,DYN1-17Y,DYN1-18X,DYN1-18Y,DYN1-19X,DYN1-19Y,DYN1-20X,DYN1-20Y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.501010042156363e-06,-2.501010042156363e-06,-2.501010042156363e-06,-2.501010042156363e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.479805855531689e-06,-2.479805855531689e-06,-2.479805855531689e-06,-2.479805855531689e-06,-2.501010042156363e-06,-2.501010042156363e-06,-2.501010042156363e-06,-2.501010042156363e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010100398752645e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5010094382801155e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.5008821434250837e-06,-2.479805855531689e-06,-2.479805855531689e-06,-2.479805855531689e-06,-2.479805855531689e-06
0.02,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.240366784831642e-06,-7.240366784831642e-06,-7.240366784831642e-06,-7.240366784831642e-06,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673277276737e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414673077819763e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.414648518214382e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.412241273281955e-06,-7.240366784831642e-06,-7.240366784831642e-06,-7.240366784831642e-06,-7.240366784831642e-06
0.03,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.3820716076729176e-05,-1.3820716076729176e-05,-1.3820716076729176e-05,-1.3820716076729176e-05,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365105813917933e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4365102978735511e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4364886812256861e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.4352169492299038e-05,-1.3820716076729176e-05,-1.3820716076729176e-05,-1.3820716076729176e-05,-1.3820716076729176e-05
0.04,-3.312575012725576e-05,-3.312575012725576e-05,-3.312575012725576e-05,-3.312575012725576e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.1741480449017234e-05,-3.1741480449017234e-05,-3.1741480449017234e-05,-3.1741480449017234e-05,-3.312575012725576e-05,-3.312575012725576e-05,-3.312575012725576e-05,-3.312575012725576e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312573127383291e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.312471301222233e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.308180728134129e-05,-3.1741480449017234e-05,-3.1741480449017234e-05,-3.1741480449017234e-05,-3.1741480449017234e-05
0.05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.272105211114015e-05,-5.272105211114015e-05,-5.272105211114015e-05,-5.272105211114015e-05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585408994729872e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.585400552454506e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5850455495829994e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.5732182347590614e-05,-5.272105211114015e-05,-5.272105211114015e-05,-5.272105211114015e-05,-5.272105211114015e-05
0.06,-7.635967121709436e-05,-7.635967121709436e-05,-7.635967121709436e-05,-7.635967121709436e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.032730256434242e-05,-7.032730256434242e-05,-7.032730256434242e-05,-7.032730256434242e-05,-7.635967121709436e-05,-7.635967121709436e-05,-7.635967121709436e-05,-7.635967121709436e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.635937306393843e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.634909295787646e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.606743198771504e-05,-7.032730256434242e-05,-7.032730256434242e-05,-7.032730256434242e-05,-7.032730256434242e-05
0.07,-0.00010599813731731928,-0.00010599813731731928,-0.00010599813731731928,-0.00010599813731731928,-0.0001059972446239667,-0.0001059972446239667,-0.0001059972446239667,-0.0001059972446239667,-0.00010597134283207982,-0.00010597134283207982,-0.00010597134283207982,-0.00010597134283207982,-0.00010538031924191959,-0.00010538031924191959,-0.00010538031924191959,-0.00010538031924191959,-9.567136290663405e-05,-9.567136290663405e-05,-9.567136290663405e-05,-9.567136290663405e-05,-0.00010599813731731928,-0.00010599813731731928,-0.00010599813731731928,-0.00010599813731731928,-0.0001059972446239667,-0.0001059972446239667,-0.0001059972446239667,-0.0001059972446239667,-0.00010597134283207982,-0.00010597134283207982,-0.00010597134283207982,-0.00010597134283207982,-0.00010538031924191959,-0.00010538031924191959,-0.00010538031924191959,-0.00010538031924191959,-9.567136290663405e-05,-9.567136290663405e-05,-9.567136290663405e-05,-9.567136290663405e-05
0.08,-0.00014608293494742386,-0.00014608293494742386,-0.00014608293494742386,-0.00014608293494742386,-0.00014608058136298343,-0.00014608058136298343,-0.00014608058136298343,-0.00014608058136298343,-0.00014602222683239834,-0.00014602222683239834,-0.00014602222683239834,-0.00014602222683239834,-0.00014489870726438944,-0.00014489870726438944,-0.00014489870726438944,-0.00014489870726438944,-0.00012954470778714215,-0.00012954470778714215,-0.00012954470778714215,-0.00012954470778714215,-0.00014608293494742386,-0.00014608293494742386,-0.00014608293494742386,-0.00014608293494742386,-0.00014608058136298343,-0.00014608058136298343,-0.00014608058136298343,-0.00014608058136298343,-0.00014602222683239834,-0.00014602222683239834,-0.00014602222683239834,-0.00014602222683239834,-0.00014489870726438944,-0.00014489870726438944,-0.00014489870726438944,-0.00014489870726438944,-0.00012954470778714215,-0.00012954470778714215,-0.00012954470778714215,-0.00012954470778714215
0.09,-0.0001859349470633936,-0.0001859349470633936,-0.0001859349470633936,-0.0001859349470633936,-0.00018592934681411298,-0.00018592934681411298,-0.00018592934681411298,-0.00018592934681411298,-0.00018580922039152206,-0.00018580922039152206,-0.00018580922039152206,-0.00018580922039152206,-0.00018382792846948076,-0.00018382792846948076,-0.00018382792846948076,-0.00018382792846948076,-0.00016081203910833731,-0.00016081203910833731,-0.00016081203910833731,-0.00016081203910833731,-0.0001859349470633936,-0.0001859349470633936,-0.0001859349470633936,-0.0001859349470633936,-0.00018592934681411298,-0.00018592934681411298,-0.00018592934681411298,-0.00018592934681411298,-0.00018580922039152206,-0.00018580922039152206,-0.00018580922039152206,-0.00018580922039152206,-0.00018382792846948076,-0.00018382792846948076,-0.00018382792846948076,-0.00018382792846948076,-0.00016081203910833731,-0.00016081203910833731,-0.00016081203910833731,-0.00016081203910833731
